,Customer ID,Date,Product,Price,Quantity,Total
0,6,10.02.2023,Chumash,300,2,800
1,6,10.02.2023,Chumash,600,2,800
2,15,05.03.2023,Chumash,500,30,24200
3,12,03.04.2023,Chumash,200,15,3000
4,18,08.04.2023,Chumash,250,5,1250
5,18,08.12.2023,Chumash,250,5,1250
6,23,13.04.2023,Chumash,180,20,3600
7,28,18.04.2023,Chumash,220,8,1760
8,33,23.04.2023,Chumash,280,11,3080
9,38,28.04.2023,Chumash,300,14,4200
10,43,03.05.2023,Chumash,320,7,2240
11,48,08.05.2023,Chumash,340,6,2040
12,53,13.05.2023,Chumash,360,12,4320
13,58,18.05.2023,Chumash,380,5,1900
14,63,23.05.2023,Chumash,400,10,4000
15,68,28.05.2023,Chumash,420,4,1680
16,73,03.06.2023,Chumash,440,9,3960
17,78,08.06.2023,Chumash,460,7,3220
18,6,13.02.2023,Gmara,300,9,2900
19,2,17.01.2023,Gmara,500,10,5000
20,14,05.04.2023,Gmara,600,7,4200
21,20,10.04.2023,Gmara,550,3,1650
22,25,15.04.2023,Gmara,400,10,4000
23,30,20.04.2023,Gmara,700,4,2800
24,35,25.04.2023,Gmara,800,6,4800
25,40,30.04.2023,Gmara,900,2,1800
26,45,05.05.2023,Gmara,1000,5,5000
27,50,10.05.2023,Gmara,1100,4,4400
28,55,15.05.2023,Gmara,1200,7,8400
29,60,20.05.2023,Gmara,1300,9,11700
30,65,25.05.2023,Gmara,1400,12,16800
31,70,30.05.2023,Gmara,1500,3,4500
32,75,05.06.2023,Gmara,1600,8,12800
33,80,10.06.2023,Gmara,1700,5,8500
34,3,15.01.2023,Sidur,60,3,180
35,2,17.01.2023,Sidur,50,10,600
36,7,19.01.2023,Sidur,50,5,250
37,10,01.04.2023,Sidur,40,8,320
38,16,06.04.2023,Sidur,45,6,270
39,21,11.04.2023,Sidur,55,11,605
40,26,16.04.2023,Sidur,65,5,325
41,31,21.04.2023,Sidur,70,7,490
42,36,26.04.2023,Sidur,75,10,750
43,41,01.05.2023,Sidur,80,12,960
44,46,06.05.2023,Sidur,85,15,1275
45,51,11.05.2023,Sidur,90,8,720
46,56,16.05.2023,Sidur,95,6,570
47,61,21.05.2023,Sidur,100,20,2000
48,66,26.05.2023,Sidur,105,8,840
49,71,01.06.2023,Sidur,110,5,550
50,76,06.06.2023,Sidur,115,11,1265
51,8,05.03.2023,Tanach,80,20,1800
52,9,13.02.2023,Tanach,30,9,2900
53,13,04.04.2023,Tanach,70,12,840
54,13,04.04.2023,Tanach,70,12,840
55,19,09.04.2023,Tanach,90,18,1620
56,24,14.04.2023,Tanach,60,6,360
57,29,19.04.2023,Tanach,100,15,1500
58,34,24.04.2023,Tanach,110,3,330
59,39,29.04.2023,Tanach,120,13,1560
60,44,04.05.2023,Tanach,130,9,1170
61,49,09.05.2023,Tanach,140,11,1540
62,54,14.05.2023,Tanach,150,4,600
63,59,19.05.2023,Tanach,160,16,2560
64,64,24.05.2023,Tanach,170,5,850
65,69,29.05.2023,Tanach,180,7,1260
66,74,04.06.2023,Tanach,190,10,1900
67,79,09.06.2023,Tanach,200,12,2400
68,5,16.01.2023,Teilim,400,5,2000
69,11,02.04.2023,Teilim,450,4,1800
70,17,07.04.2023,Teilim,350,8,2800
71,22,12.04.2023,Teilim,420,7,2940
72,27,17.04.2023,Teilim,480,12,5760
73,32,22.04.2023,Teilim,500,9,4500
74,37,27.04.2023,Teilim,550,5,2750
75,42,02.05.2023,Teilim,600,8,4800
76,47,07.05.2023,Teilim,650,3,1950
77,52,12.05.2023,Teilim,700,10,7000
78,57,17.05.2023,Teilim,750,14,10500
79,62,22.05.2023,Teilim,800,7,5600
80,67,27.05.2023,Teilim,850,15,12750
81,72,02.06.2023,Teilim,900,6,5400
82,77,07.06.2023,Teilim,950,4,3800
